signature,block_time,block_time_utc,wallet,side,sol_amount,token_amount,price_sol_per_token,mcap_sol,mcap_usd
2BEVYkpJnnWEsUxTVdJRwik3sYt5rSkvdgAqGSDhguWbTsPbe5mSuVxNZaBRHfVv66fCRZEuSDZU4b4naWTvqv4T,1785083095,2026-07-26T16:24:55Z,2vRhXKm7w5VMhSMHLHKA3Hb6YUneKMDxj68xTPYiwZB9,buy,0.118518518,2071491.634892,5.721409442533382e-08,55.16376570676924,4108.438122650085
2C9nH2jdkaEGgBCTDhepUCtr8K3ubR24oZ96gZLxmtHLwwEAFq6eq6gFBgTamKhRnaXLEmKZBr9tmm1DbvdoQ3ea,1785083095,2026-07-26T16:24:55Z,F5K7wpAkG1UZEt53nu6tepNeXspFd7ZFYk162VrZ2J7E,buy,0.296296296,4421539.158434,6.701202576365756e-08,64.61057761888752,4812.009419859206
2iMrXYJ4Z8jv129DBRM58FoUXAFEZ4usiJeaEBVKzdgiiwsgShrP8pYwQKDhqf7qfTsxg3r42X6AJXZi9ADAWQ5A,1785083095,2026-07-26T16:24:55Z,74ok3XR2RBV2XxHrGuiGVKvHTXJARbDhvTxybK4TiMBH,buy,1.29167926,21105349.152842,6.120151107881886e-08,59.00828898826895,4394.7671252256105
4tBEoE7sJy7BtV1Axb6ErbsDmDQLsYm6CDwVES6oikcWf22u1w65LfZY8DDZpT2Nqxi8wL9g8YahBztDV9FmzLqE,1785083095,2026-07-26T16:24:55Z,3Vggwn3LPougvnGa8zpYJMEN9L38tSRa45gv9odiSVF1,buy,0.074074073,1329557.302441,5.571333620898005e-08,53.71678877807751,4000.6714555223775
5VKD3r5YEJ1ZyT8HK7mqg9pbPbRFYAc61SpRZJzYJ2TzPGwCWxBk2G9wZFb2Ww9YXA3GA2pa62YiRivPC1EHw8cF,1785083095,2026-07-26T16:24:55Z,FhsfqVkt4mQp81LMKpbDT5jgQQsfrybyxhqwCE376inW,buy,1.260779391,19464708.236905,6.477258100430028e-08,62.45138577535224,4651.199040610444
5v6iDfm14JG3axEp57AEVrSpijWEaexkb3ccdaHPaurKpdVHhN634FKknmqw4a24QTH7mZBjP8Eo9aR4CEC4e8G7,1785083095,2026-07-26T16:24:55Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,sell,0.667845709,11821573.198011003,5.6493809902760315e-08,54.46929335612651,4056.7158255234967
66YTKUgajw4dqUCPxKgjqdtwKBeKLfrbBPs1XhJMP61p79SUSFSEQVkkFUWmPbK3tQWpHUhmryqTQN4qdFwqHFiC,1785083095,2026-07-26T16:24:55Z,576b6UzS3DvQRu42kezf5gsLtpyq6UEbBMahYZh7HzVo,buy,1.35865246,23587774.081686,5.759985894789809e-08,55.53570594202876,4136.139158326483
yLzh7g1nHGrWUngexKK5CAJ3N2VecsspjZ4w9FDPPkbaaDiZ6cboiY7bTTF4pV16muVjzTEWp6zze5ZpMdtBRgE,1785083095,2026-07-26T16:24:55Z,4dniuvskLMwsqB83ZVA5EmFcK5zhDZa934H3XRg4WCsc,buy,0.004938271,86064.196732,5.737892396041936e-08,55.32268839787083,4120.274226192157
3Mx2LghqCT3jG9SrJNrWVAjCHWTcwo8LWutt485SvpLWMPK4BFuJT9haCcveJku4nT19cYRj7vaoZGo7M1MSUNDF,1785083096,2026-07-26T16:24:56Z,6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,sell,0.322287294,4521910.334288999,7.127237609205594e-08,68.71825370299001,5117.937283978058
3bm6G3qNeyMWkUzmVfdPooFmG2jMZ3rZLdBsqZdiwcVG4vDnQcHW7H4EJ3xjVATi9eRt2LSWtP7Uj5fizu5VvFzZ,1785083096,2026-07-26T16:24:56Z,ERwFALCBpbgvxcd3Veq2hWtVvKqDK7LKwfBxyGCNBgX9,sell,0.012586552,177882.457138,7.075769135702594e-08,68.22201324998244,5080.978726689296
4jD521aLtUvMCk4J5sQLk9s8FukY419qirxyWN6oFbgAa4hS82hQqnoZiWpBo9a2z2Q26vsn4yibpW6Ze2jvADRj,1785083096,2026-07-26T16:24:56Z,4dniuvskLMwsqB83ZVA5EmFcK5zhDZa934H3XRg4WCsc,sell,0.006092087,86064.196732,7.078538150969424e-08,68.24871109619535,5082.967105252081
5RV44NRPQR3t7ja33Juu8AX3HE1S2E8a9znomRhduP1ELB2zReJ8VQjodEmVh9RePMTbwLfMtpkgfkwMsEgHSt6t,1785083096,2026-07-26T16:24:56Z,2xKDETThQeNxPZAtkicq8UABrRQtyRfHTwCs57mTpFFQ,buy,1.466666666,21083759.196147,6.95638122383806e-08,67.07091807588851,4995.248479026642
3NbwoLFKB8Ponq2m66qwxR3eczpvoKNCopPiBUYZSWzvzuf81K8rREoqEgVKWD6EF4Ga1DNW6RjUrRnzs9uDj7ZR,1785083097,2026-07-26T16:24:57Z,F5K7wpAkG1UZEt53nu6tepNeXspFd7ZFYk162VrZ2J7E,sell,0.31073867,4421539.158434,7.027839375961921e-08,67.75989179839384,5046.56125419307
5zwdbZSMtoHdWJAthMAWCHkcSNx1GpG6Mf7Ru7SbwcJVMNpBff3bgqYPbLh8jk4uRWhZ5MHsXkyeDvBmdCe6yGTR,1785083097,2026-07-26T16:24:57Z,6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,sell,0.102478956,1356573.1002869997,7.554252401018369e-08,72.83537626963759,5424.568694863814
AtrDQGw6N22dcmBY9DXcYTXDwALNk5o9NqZk1C2F7EXi6yp7BXxp1vehKkfPVDzurNMkhzo5w66CKmbG3Xjh2FS,1785083097,2026-07-26T16:24:57Z,6MaZ2ikXBYEJjeB4JjuWR2wX7yfJBCE3Znhww6TJH3sB,buy,1.955555555,26898675.142685,7.270081313026327e-08,70.09550116087601,5220.510701289332
2pQ6wt8by84K4uDgyTjkbjLAG3gnztU3NWQHpefp7wFbHRMbAGNjSyZ5Gn4yKuneAUhgih8e2XYgNk2E9rvHAZtq,1785083098,2026-07-26T16:24:58Z,EP5vZSxiDMn2iJ3yoWHjzW12avYeK8kQaTNkb9EDbVsz,buy,0.962555622,11940928.275803,8.06097817328419e-08,77.7210433521312,5788.4390840426695
3DYMJdxDssXYN6FZEuYcJuND8QEsY3gx3dVr4Ti8NzRVmgDN3ZfrTxLJbUMvWP5YicrtAk1vTwA81TDqUDWQ1XHS,1785083098,2026-07-26T16:24:58Z,EP5vZSxiDMn2iJ3yoWHjzW12avYeK8kQaTNkb9EDbVsz,buy,1.094676256,11852969.334348999,9.235460120762415e-08,89.04497456668015,6631.812811416963
3EuAWA5DU5tPwHFAK3cwj5DXkk4yGY6HVcUi54oKTFpdwvgaNwjkEiwHQvy3VNqzNzcbiJhvU33jr5BTR1HtmiUH,1785083098,2026-07-26T16:24:58Z,4MNb2YiPt6D7WHdgKLEzwqcZiQeCiD96nWncpB1jsUwv,buy,0.771517015,9253029.672888,8.337993525089375e-08,80.39192543418564,5987.3586760325425
43CF2hYX2wVKYPx5ewL6xrNnGEEHe1RgjmekrabLTu9JZyodhm4ChJ3pHqWhHEvNxZzuNDobGG6oc1E6zapgE8Bk,1785083098,2026-07-26T16:24:58Z,ALmjjCJmzJAZApRHSJV7eKLUboVq7wMD5fZW2zJfzz5K,sell,0.287470517,3072958.025564,9.354846848168016e-08,90.19605832064836,6717.542208541602
47YSjYbbrzHvo8rsxkYTTrMXSegeCZrwNLXqRxoYtBKz36cpRmJWJmB5FbhHzJEframwZrezzXJq4AzyVeDeHoEJ,1785083098,2026-07-26T16:24:58Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,sell,0.652201607,7092943.918805994,9.195076324666468e-08,88.6556085741634,6602.813955613269
5fPCaNk93zogvPNmCHikGBCLtBKiLmqE9hYE4dNKnKEBrLFV9KZo9kxajfguwj1kAwq1wDWuWZph48mSLqKZ2gRp,1785083098,2026-07-26T16:24:58Z,6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,sell,0.053522136,633067.4468,8.454412917697982e-08,81.5143992165797,6070.957285013966
5vpiowUfi9hhfQu6Qn3sresVhyJ4LC7Xr3ZnUFUonAsV944hXbiWkjQg44dCxxhE9FkgpPm2NAqQWJGK3sbmGLBz,1785083098,2026-07-26T16:24:58Z,CnL6TwM9cEkRfnnmdzhySW7KZ62usfwhSnsumY3axWqn,buy,0.973733003,11317913.191058,8.603467676084687e-08,82.95153142180123,6177.9907455395905
DkopG5gkKx2XQbJDGKwwcHtrWQ4Lk527q2hkZPRbutsLZsRa9kSi5Zh8HLs2V1bPQyDjojm6ogGEAHUEkTdDMoh,1785083098,2026-07-26T16:24:58Z,4MNb2YiPt6D7WHdgKLEzwqcZiQeCiD96nWncpB1jsUwv,buy,0.864924075,9710770.534957,8.906853188286465e-08,85.87666507672046,6395.846261161908
XKdbFwNAhjJ5YcdHCgdseWmj93ujThqa1nUysWFJrBLyMHQL9AQxEpvif5LpQrhrPNBDZCVxKGEKnfMGeYymBcp,1785083098,2026-07-26T16:24:58Z,CnL6TwM9cEkRfnnmdzhySW7KZ62usfwhSnsumY3axWqn,buy,1.199260697,15530248.928729,7.722095779041372e-08,74.45366156693908,5545.093915061782
yBUEgU1mwwNmQdUD5WZEVbwBhFcPX8dmJD4AXLDr39WDca6E8RS4aqUSpdv6V5hQXKdH9eCt7KmptyyoffyQRBE,1785083098,2026-07-26T16:24:58Z,9iYFPoMEzVD8fV6r51pdhguw3VL1HKCuv4q281gXV4c3,sell,0.054876043,582959.081376,9.413361032213815e-08,90.7602309727975,6759.560160038371
362J1kSzdPRVSymr7PQY6GWCaHLJXt2qQS3QX9C3hae89DsiHsY7nJbJp7BR4KUkz25wEggxi2kyYuhw7kCytKno,1785083099,2026-07-26T16:24:59Z,Bj1xdck5QFew2fHV8dp3FVt45C8WRU6hH154UNYpwEP,buy,0.001955555,21523.120992,9.085833791144261e-08,87.60233147785327,6524.368916179283
3dkyyF4wMD87MTgQUZEHjEHteweEzVYGjU4Mu6fCb31bbVLHfmYVcmD9gERuD6RYpXgrNF8jFEzAQdGdiffmQCLT,1785083100,2026-07-26T16:25:00Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,sell,0.540921524,6029002.330985002,8.971990626376582e-08,86.50469675486434,6442.620248681792
u9CDELXYGijXzGKmSsGwW8dw5RGdyjQXSDf6LGBviS1gXYBUrc23TgWF2Ed6qGED8fZ5fN6ejahessE6LqPfiCr,1785083100,2026-07-26T16:25:00Z,ALmjjCJmzJAZApRHSJV7eKLUboVq7wMD5fZW2zJfzz5K,sell,0.069713509,768239.506391,9.074449884450346e-08,87.4925719565328,6516.194343687008
2KMtsjXT45699WJVTtG8h4agzeD8HV5u5MhhAWe7D5XgqxX2Jzp7YLZaKqUzEBRT8TPVfvUQogDd2KmhToQScMLA,1785083102,2026-07-26T16:25:02Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,sell,0.748018425,8541086.635563001,8.75788359159634e-08,84.4403539698532,6288.873953672844
2MWZT8KdcDoRS69FBAZUS9Ls7WZs3pV3T4u8uF6aHuepRKAvEB3Ms854wgFZhemgxdQ4uCyvWXEr4z1fy7DHaima,1785083103,2026-07-26T16:25:03Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,sell,0.54742218,6405814.976672001,8.54570701766352e-08,82.39462399187204,6136.5138868336335
37pv86gEV9ErUtEgNFm9HEqVKx3QCrDjL6KwYyKnhUJ2yPSdxva8oovv6R5jxNV2Uf9ZnimZVxqcgdVGtxABqxi1,1785083104,2026-07-26T16:25:04Z,6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,sell,0.074846196,886294.4255209998,8.444845622943231e-08,81.42215481218955,6064.087187899635
3RXMAL4Rpz3NaZ88DrPUbvDKama1BeVmvfMpaxSkmVPJvPjb1ckTu56s9LB4VZcCAbk26FgA6goeqmBUFbzwFPhn,1785083105,2026-07-26T16:25:05Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,sell,0.348836513,4804361.232503999,7.260830235660462e-08,70.00630561046636,5213.8676740235405
56tQGRg6y7qgofiKcpLRHdsrJTRygrwb6nan6xd4Q21G5YsgFFrpXPQEzHi1tBCDm9UZzmrbQ7gft3w64kM52Knc,1785083105,2026-07-26T16:25:05Z,ASZhH7wEdrhnuXGBpxbwTF7diTMP7Km1xBw1epAnUbg4,sell,2.058812931,25418999.394106,8.099504229412683e-08,78.09249768610681,5816.1039311932645
5aN2B2q9fAd6qrTf78RNcMmt2tBuJzfwxzVB1bvWV66c7A7HHFXyUXwZbg3BSSEutNywzEE94EjonsRuQBauKobh,1785083105,2026-07-26T16:25:05Z,EB9rURAEFFHHvcuTig6R2jfaPMzWWwmRnzeoPnigGer,buy,0.976922842,12764120.359669,7.65366366402184e-08,73.79386380247692,5495.954081077914
5bXGY4ftpBNdnqVxgepYrSn1RMxJSuikSQRr8EUVNUenRtCAKjDDTqJMDykh1p5KnaytnRXwyHyaRfhcG3LVqjgf,1785083105,2026-07-26T16:25:05Z,CV8yNmoEh4AxuofTLxckgpbA2pzCcwYTJ7a9SvGzago8,sell,1.522052181,20178796.961828,7.542829158146786e-08,72.72523748308353,5416.365875791119
bnZ3C4xPEk7G9J3odpt3Nfo84HbMk7Fp7jgdpnfUUR2TjBiPRR7HsNBjnfa8QtuWGpo7GU2LH4dYTAXTxWe6Au2,1785083105,2026-07-26T16:25:05Z,DRCZi1rVZVtoT3zPN6ZreCAyU6LaePpCrHRowmSKCwiW,buy,0.978632714,13305540.232303,7.355076884620509e-08,70.9149977979596,5281.54444657559
263tJBJbyKWiqCuGdKaHPvCicjaP3kZa1FUwjMqaG8PgFVGhcENjy5sEMoPMTSffW9kSvjuStUrGSXwsB5DsAEKL,1785083106,2026-07-26T16:25:06Z,98e2YHN72vLBhhW9w8k6Rv8nYegSKP9bFGqTgJrJ84U5,buy,1.114129509,14446643.191382,7.712030360552013e-08,74.35661443321013,5537.866124522149
3cvNp9b9iJJKgorA9pj9e16ttY9JUCvJ1ecieugpCENYHrZueru7aFroTe2A32zSQEbo5aKWsSKq2PXrFukvGfva,1785083106,2026-07-26T16:25:06Z,A8st9QNWjLcioTs5WWoE5mUhgBGUPjh9rq6TRSGumtqn,buy,1.819203825,22263699.807715,8.1711658022338e-08,78.7834327175861,5867.562778993707
4hbcVoU3SUoVNfVxy1QchMWnoAneoV1Xr4yvFjMWPndhYD6bTQEQu8QNE3es6DTmRGaLXzDdvCJUfLaHUegFh5hd,1785083106,2026-07-26T16:25:06Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,sell,1.100358529,14413083.697515,7.63444209506475e-08,73.60853636924293,5482.151428519372
4pmdpU6K9DzHuofcMVWAKo2TJb8QHZSi2vV3DyHET8RBkyU5bKAtV9nZ4EbirCvqpsLh4psYksACz2vgPCgkMaoD,1785083106,2026-07-26T16:25:06Z,BiF1EpxvBVmAtW8mJtStyuW14rTdNaS7mMgHCnVdyTcs,buy,0.244444444,3257485.509002,7.504083850088739e-08,72.35166920110365,5388.543587891896
xs776zKC3rVYtqY9BsWSy2hDHtkoXC2uPLFzhgrKZdDBidRPNCKCPW35phs45LyfZ1gAtejvwBHAdigU6qETP6g,1785083106,2026-07-26T16:25:06Z,2Y5UatxnQWGv6URdieEZxwCi2uNE2khoqRU8ZeMyZvyh,buy,1.185185184,13688266.523349,8.658402303742039e-08,83.48119128266534,6217.438283910681
2H2ahsb9GRQshcRJixfPEvg48rTdx1ffRSk16MnwHQLT9dFKMbfA6tux6G4T3bexkeCYPFZxReM1HPuTPSwufN4y,1785083107,2026-07-26T16:25:07Z,6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,sell,0.053813717,493792.6085040001,1.0898040204172895e-07,105.07497191456905,7825.680767424994
4bcwTFVxmJPi76GuT72Uy4mcwCc7jnhSezC3yNbM4X8v5fL6H8BUZZy59ZwirjsWzCctQaqXKWyufaJa6ptAhi2N,1785083107,2026-07-26T16:25:07Z,BAAerD5HTir1y5nHZ7gy3n8dzpeLskNmvhCCshD1CK3B,buy,1.971764888,20008682.064182,9.854546549718542e-08,95.01398256413164,7076.367306508722
4sseEcrznMfgyLRVugV1e9M3HZuXv6KGkPRwhA22ams7qAYM8KCTvN5yCzp4HCT8S45NmpXnotCmD8MT1X8yjNKD,1785083107,2026-07-26T16:25:07Z,DEVA1RTJX6mAXLy9HikaDG3SPRu8mrjXnkedoivGQMvZ,buy,1.939346223,18380777.048841,1.0550947970517305e-07,101.72843381965896,7576.440264861873
RZedaPGwrfo84mUwLwXDNSizPPvJHReveLsWCLvz8ScapsZanevi4wRBfbyFEqeNhYQSqe8sUGdHG87sDAg3m7b,1785083107,2026-07-26T16:25:07Z,GqBXzbDjYviRi959rQmxVzCB7UigT3P466opp5M25H65,buy,1.955555555,21303936.994125,9.179315332838642e-08,88.50364677712209,6591.496279378663
2WGgeZq4Vjr5o4ozZxZ5hzmwCEqTDNYHfrsRjMDP4seCtJ7Fk7dZifonQFzhpv9JUsEDyFv33uZTUk1ySdeEwzUB,1785083108,2026-07-26T16:25:08Z,9Uq8GVrvSTxGxTYBXvmGJdvbJSfNTdUFgq1HwzNW2xT8,sell,0.193545135,1783407.417263,1.0852547383538093e-07,104.63634655065398,7793.013215752596
66RgbAwHnmqNQfskZoMCkZPMCfPpqsZPCkA7rB1N5TZZqyFdo9GsVXFjNVnJYqgYQpkeQE4AKPtkZYU31axcXroy,1785083108,2026-07-26T16:25:08Z,6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,sell,0.037366041,345654.825953,1.0810218227672252e-07,104.22822410107193,7762.617433138965
